"Astrocytes","Neurons","Oligos","Vascular","Immune","Ependymal"
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0.9,0.1,0,0,0,0
0,1,0,0,0,0
0,0.2,0.4,0.2,0.1,0.1
0.4,0.4,0,0,0.1,0.1
0,0.111111111111111,0.666666666666667,0.222222222222222,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0.1,0.4,0.1,0.4,0,0
0,1,0,0,0,0
0.444444444444444,0,0.111111111111111,0,0,0.444444444444444
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0.3,0,0.1,0.3,0.2,0.1
0,1,0,0,0,0
0,1,0,0,0,0
0.111111111111111,0.111111111111111,0.111111111111111,0,0.333333333333333,0.333333333333333
0.2,0,0.3,0.1,0.1,0.3
0.6,0,0.1,0.2,0,0.1
0.1,0.2,0.1,0.2,0.2,0.2
0,0,0.777777777777778,0,0,0.222222222222222
0.6,0.2,0,0,0,0.2
0,1,0,0,0,0
0.6,0.1,0,0,0,0.3
0.363636363636364,0.0909090909090909,0,0,0.363636363636364,0.181818181818182
0,0.3,0,0,0.1,0.6
0.1,0.3,0,0,0.1,0.5
0,1,0,0,0,0
0,0.3,0,0,0.6,0.1
0,1,0,0,0,0
0,1,0,0,0,0
0.8,0.1,0,0,0,0.1
0,1,0,0,0,0
0,0.1,0.4,0.4,0.1,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0.1,0.3,0.1,0,0.3,0.2
0.333333333333333,0.111111111111111,0.222222222222222,0.111111111111111,0.111111111111111,0.111111111111111
0,0,0,0.3,0.5,0.2
0,0.1,0.6,0.2,0.1,0
0.2,0.1,0,0.2,0.1,0.4
0.1,0.2,0.2,0.2,0.2,0.1
0,1,0,0,0,0
0.222222222222222,0.111111111111111,0,0.333333333333333,0.111111111111111,0.222222222222222
0,0.1,0.2,0.5,0.1,0.1
0.2,0,0.4,0.1,0.2,0.1
0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,0.444444444444444,0.111111111111111
0.2,0,0,0.7,0.1,0
0.111111111111111,0,0,0.222222222222222,0,0.666666666666667
0,0.181818181818182,0.454545454545455,0.181818181818182,0.0909090909090909,0.0909090909090909
0,0,0.9,0.1,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0.111111111111111,0.666666666666667,0.222222222222222,0,0
0,0.2,0.3,0.3,0.1,0.1
0,0.125,0.75,0.125,0,0
0.111111111111111,0.111111111111111,0.333333333333333,0.111111111111111,0.222222222222222,0.111111111111111
0,0.25,0.375,0.25,0.125,0
0.111111111111111,0.333333333333333,0.111111111111111,0.333333333333333,0,0.111111111111111
0.4,0.2,0.2,0,0,0.2
0.2,0.3,0.3,0.1,0.1,0
0.3,0.5,0,0,0.1,0.1
0.1,0.1,0.3,0.3,0.1,0.1
0,0.1,0.4,0,0.4,0.1
0,0.1,0.5,0.2,0.1,0.1
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0.4,0.2,0,0,0.4,0
0.3,0,0,0,0.3,0.4
0.666666666666667,0.111111111111111,0,0,0.222222222222222,0
0.4,0.3,0,0,0.1,0.2
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0.1,0.2,0,0,0.3,0.4
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0.2,0,0.2,0.2,0.1,0.3
0,0.1,0.5,0.2,0.1,0.1
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0.444444444444444,0.111111111111111,0,0.222222222222222,0.111111111111111,0.111111111111111
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0.6,0.1,0.1,0,0.1,0.1
0,1,0,0,0,0
0,1,0,0,0,0
0,0.2,0.3,0.3,0.1,0.1
0,1,0,0,0,0
0.111111111111111,0.555555555555556,0,0,0.111111111111111,0.222222222222222
0,0.222222222222222,0.333333333333333,0.222222222222222,0.222222222222222,0
0.6,0.3,0,0,0,0.1
0.1,0.2,0,0,0.7,0
0,1,0,0,0,0
0.111111111111111,0,0,0,0.222222222222222,0.666666666666667
0,1,0,0,0,0
0.5,0.3,0,0,0,0.2
0,1,0,0,0,0
0.5,0.3,0,0,0,0.2
0,0.333333333333333,0,0,0.666666666666667,0
0.1,0.6,0,0,0.3,0
0.7,0.2,0,0,0,0.1
0,0.111111111111111,0,0,0.333333333333333,0.555555555555556
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0.2,0.2,0.2,0.1,0.3,0
0,1,0,0,0,0
0,1,0,0,0,0
0.1,0.4,0,0.3,0.1,0.1
0.5,0.1,0.1,0.1,0.1,0.1
0,1,0,0,0,0
0,1,0,0,0,0
